name,hex,link
"Schokoladen-braun",#45322e,
Achatgrau,#b5b8b1,
Aliceblau,#a0ce00,undefined
Altgold,#fdf5e6,undefined
Altrosa,#d36e70,
Anthrazitgrau,#293133,
Antikes Weiß,#faebd7,undefined
Aquamarinblau,#7fffd4,undefined
Azurblau,#025669,
Babyrosa,#ebbce3,https://github.com/meodai/noms-de-couleur/#authors-undefined
Basaltgrau,#4e5754,
Beige,#c2b078,
Beigebraun,#79553d,
Beigegrau,#6d6552,
Beigerot,#c1876b,
Betongrau,#686c5e,
Blassbraun,#755c48,
Blasse Goldrutenfarbe,#eee8aa,undefined
Blasses Türkis,#afeeee,undefined
Blasses Violettrot,#db7093,undefined
Blassgrün,#89ac76,
Blattgrün,#00524e,https://de.wikipedia.org/wiki/Liste_der_Farben_im_Farbkreis
Blau,#0000ff,undefined
Blaugrau,#474b4e,
Blaugrün,#1f3a3d,
Blaulila,#6c4675,
Blauviolett,#8a2be2,https://de.wikipedia.org//wiki/Blauviolett
Blutorange,#cb2821,
Blütenweiß,#fffaf0,undefined
Bordeauxviolett,#641c34,
Braun,#a52a2a,undefined
Braunbeige,#8a6642,
Braungrau,#464531,
Braungrün,#39352a,
Braunoliv,#25221b,
Braunrot,#781f19,
Bremerblau,#005a99,https://de.wikipedia.org//wiki/Bremer_Gr%C3%BCn
Brillantblau,#3e5f8a,
Cadmiumgelb,#fff600,https://en.wikipedia.org/wiki/Citrine_(colour)
Capriblau,#1b5583,
Chiffongelb,#fffacd,undefined
Chromoxidgrün,#2e3a23,
Coelinblau,#0091c6,https://de.wikipedia.org/wiki/Liste_der_Farben_im_Farbkreis
Cremeweiß,#fdf4e3,
Cremig Pfefferminz,#f5fffa,undefined
Cremiges Papaya,#ffefd5,undefined
Currygelb,#9d9101,
Cyanblau,#007eff,https://de.wikipedia.org//wiki/Cyan
Dahliengelb,#f3a505,
Distel,#d8bfd8,undefined
Dodger-Blau,#1e90ff,undefined
Dunkelblau,#00008b,undefined
Dunkelgrau,#a9a9a9,undefined
Dunkelgrün,#006400,undefined
Dunkelrot,#8b0000,undefined
Dunkle Goldrutenfarbe,#b8860b,undefined
Dunkle Lachsfarbe,#e9967a,undefined
Dunkle Orchideenfarbe,#9932cc,undefined
Dunkles Khaki,#bdb76b,undefined
Dunkles Magentarot,#8b008b,undefined
Dunkles Olivgrün,#556b2f,undefined
Dunkles Orange,#ff8c00,undefined
Dunkles Schieferblau,#483d8b,undefined
Dunkles Schiefergrau,#8fbc8f,undefined
Dunkles Seegrün,#90bd90,undefined
Dunkles Türkis,#00ced1,undefined
Dunkles Violett,#9400d3,undefined
Dunkles Zyanblau,#008b8b,undefined
Eisengrau,#434b4d,
Elfenbein,#e1cc4f,
Entenbraun,#008080,undefined
Enzianblau,#0e294b,
Erdbeerrot,#d53032,
Erikaviolett,#de4c8a,
Farngrün,#3d642d,
Fehgrau,#78858b,
Fenstergrau,#9da1aa,
Fernblau,#49678d,
Feuerrot,#af2b1e,
Flaschengrün,#343b29,
Friedhofsblond,#e0e0e0,https://github.com/meodai/noms-de-couleur/#authors-undefined
Frühlingsgrün,#00ff7f,undefined
Fuchsie,#ff00ff,undefined
Gainsboro,#dcdcdc,undefined
Geisterweiß,#f8f8ff,undefined
Gelb,#ffff00,undefined
Gelbbraun,#d2b48c,undefined
Gelbgrau,#8f8b66,
Gelbgrün,#57a639,
Gelboliv,#47402e,
Gelborange,#ed760e,
Giftgrün,#94fb4d,https://github.com/meodai/noms-de-couleur/#authors-undefined
Ginstergelb,#d6ae01,
Glutorange,#ec612b,https://github.com/meodai/noms-de-couleur/#authors-undefined
Gold,#ffd700,undefined
Goldgelb,#cda434,
Goldrute,#daa520,undefined
Granitgrau,#2f353b,
Graphitgrau,#474a51,
Graphitschwarz,#1c1c1c,
Grasgrün,#35682d,
Grau,#808080,undefined
Graualuminium,#8f8f8f,
Graubeige,#9e9764,
Graublau,#26252d,
Graubraun,#403a3a,
Grauoliv,#3e3b32,
Grauweiß,#e7ebda,
Grobes Braun,#deb887,undefined
Grün,#008000,undefined
Grünbeige,#bebd7f,
Grünblau,#1f3438,
Grünbraun,#826c34,
Grüngelb,#adff2f,undefined
Grüngrau,#4d5645,
Hellblau,#add8e6,undefined
Helle Lachsfarbe,#ffa07a,undefined
Hellelfenbein,#e6d690,
Helles Cyanblau,#e0ffff,undefined
Helles Goldrutengelb,#fafad2,undefined
Helles Himmelblau,#87cefa,undefined
Helles Korallenrot,#f08080,undefined
Helles Schiefergrau,#778899,undefined
Helles Seegrün,#20b2aa,undefined
Helles Stahlblau,#b0c4de,undefined
Hellgelb,#ffffe0,undefined
Hellgrau,#d3d3d3,undefined
Hellgrün,#90ee90,undefined
Hellrosa,#ea899a,
Hellrotorange,#f75e25,
Himbeerrot,#c51d34,
Himmelblau,#2271b3,
Honiggelb,#a98307,
Honigmelone,#f0fff0,undefined
Indigo,#4b0082,https://de.wikipedia.org//wiki/Indigo_(Farbe)
Indischgelb,#deb943,https://de.wikipedia.org/wiki/Liste_der_Farben_im_Farbkreis
Indischrot,#cd5c5c,undefined
Kadettblau,#5f9ea0,undefined
Karmesinrot,#dc143c,undefined
Karminrot,#a2231d,
Kastanienbraun,#633a34,
Khaki,#f0e68c,undefined
Khakigrau,#6a5f31,
Kieferngrün,#2c5545,
Kieselgrau,#b8b799,
Knallrot,#e43426,https://github.com/meodai/noms-de-couleur/#authors-undefined
Knatschgelb,#fbea4e,https://github.com/meodai/noms-de-couleur/#authors-undefined
Kobaltblau,#1e213d,
Kohlrabenschwarz,#1c1b1b,https://github.com/meodai/noms-de-couleur/#authors-undefined
Koralle,#ff7f50,undefined
Korallenrot,#b32821,
Kornblumenblau,#7069d8,https://github.com/meodai/noms-de-couleur/#authors-undefined
Krapplack,#6f011e,https://de.wikipedia.org//wiki/Krapplack
Kupferbraun,#8e402a,
Königsblau,#4169e1,undefined
Lachs,#fa8072,undefined
Lachsorange,#e55137,
Lachsrot,#d95030,
Laubgrün,#2d572c,
Lavendelfarbe,#e6e6fa,undefined
Lehmbraun,#734222,
Leinenfarbe,#faf0e6,undefined
Leuchtendes Rosa,#ff69b4,undefined
Leuchtgelb,#fefe01,
Leuchtgrün,#00bb2d,
Leuchthellorange,#ffa420,
Leuchthellrot,#fe0000,
Leuchtorange,#ff2301,
Leuchtrot,#f80000,
Lichtblau,#3b83bd,
Lichtgrau,#d7d7d7,
Lichtgrün,#84c3be,
Magentarot,#fe01fe,undefined
Mahagonibraun,#4c2f27,
Maigrün,#4c9141,
Mais,#fff8dc,undefined
Maisgelb,#e4a010,
Mandelweiß,#ffebcd,undefined
Marineblau,#000080,undefined
Mattes Grau,#696969,undefined
Mausgrau,#646b63,
Melonengelb,#f4a900,
Minttürkis,#497e76,
Minzgrün,#20603d,
Mittelblau,#0000cc,https://de.wikipedia.org//wiki/Blau
Mittelgelb,#fdfd02,https://de.wikipedia.org//wiki/Gelb
Mittelgrün,#20a040,https://de.wikipedia.org//wiki/Mittelgr%C3%BCn
Mittelrot,#ff0040,https://de.wikipedia.org//wiki/Rot#Mittelrot,_Hochrot,_Blutrot
Mitternachtsblau,#191970,undefined
Mittlere Orchideenfarbe,#ba55d3,undefined
Mittleres Aquamarinblau,#66cdaa,undefined
Mittleres Frühlingsgrün,#00fa9a,undefined
Mittleres Schieferblau,#7b68ee,undefined
Mittleres Seegrün,#3cb371,undefined
Mittleres Türkis,#48d1cc,undefined
Mittleres Violett,#9370db,undefined
Mittleres Violettrot,#c71585,undefined
Moosgrau,#6c7059,
Moosgrün,#2f4538,
Muschel,#fff5ee,undefined
Nachtblau,#252850,
Narzissengelb,#dc9d00,
Navajoweiß,#ffdead,undefined
Nussbraun,#5b3a29,
Ocker,#dba621,https://de.wikipedia.org//wiki/Ocker
Ockerbraun,#955f20,
Ockergelb,#aea04b,
Olivbraun,#6f4f28,
Olivfarbiges Graubraun,#6b8e23,undefined
Olivgelb,#999950,
Olivgrau,#7e7b52,
Olivgrün,#424632,
Opalgrün,#015d52,
Orange,#ffa500,undefined
Orangebraun,#a65e2e,
Orangenrot,#ff4500,undefined
Orchidee,#da70d6,undefined
Orientrot,#b32428,
Oxidrot,#642424,
